Query,Response
How much does Button cost to use?,"Button does not publish standard public pricing. The platform appears to use a custom enterprise pricing model, where cost depends on factors such as traffic volume, commerce revenue driven, integrations, and the specific Button products used (for example, affiliate/creator monetization, deep linking, or mobile conversion optimization). 
F6S
+1

Typical pricing structure is likely:

Custom quote: Businesses contact Button for pricing rather than selecting a public monthly plan. 
F6S

Enterprise-focused: Button is primarily aimed at retailers, publishers, creators, and other companies with meaningful mobile commerce or affiliate traffic. 
Norwest

Value-based economics: The cost is generally evaluated against incremental revenue generated, improved attribution, conversion gains, and affiliate performance rather than a simple seat-based subscription. 
usebutton.com
+1

For a small company with limited traffic, Button may not be economical compared with simpler affiliate-link or tracking tools. For larger brands or publishers driving significant mobile commerce, the ROI calculation is usually based on additional sales or commissions recovered. 
Norwest
+1

Sources used:
https://www.f6s.com/software/button

https://www.usebutton.com/post/button-surpasses-1-billion-in-commerce-driven-monthly-as-retailers-and-publishers-leverage-buttons-ai-powered-commerce-optimization-platform

https://www.norwest.com/?case_studies=button-win-win-win-mobile-commerce-solution

https://www.tmcnet.com/usubmit/2026/06/16/10400432.htm"
Does Button have pricing plans or enterprise pricing?,"Button does not appear to publish fixed pricing tiers or self-service plans. Instead, it appears to use a custom enterprise pricing model where companies contact Button for a tailored quote based on their needs, traffic volume, integrations, and use case. 
Button
+1

Typical factors likely considered in Button pricing include:

Traffic or transaction volume (for example, clicks, conversions, commerce sessions, or revenue influenced)

Integration requirements (mobile apps, websites, affiliate systems, retailer platforms)

Enterprise support needs

Products/modules used (such as solutions for retailers, publishers, or creators) 
Button

Button is positioned primarily for larger brands, retailers, publishers, and creators rather than as a low-cost SMB SaaS product with public monthly plans. 
Button
+1

For an exact quote, companies generally need to contact Button’s sales team through its website. 
Button

Sources:
https://www.usebutton.com/

https://www.trustradius.com/products/button/pricing

https://www.norwest.com/?case_studies=button-win-win-win-mobile-commerce-solution"
Is Button free to use?,"No. Button does not appear to offer a free self-service plan or free trial for its core platform. It is positioned as an enterprise commerce optimization platform for brands, publishers, and creators, and pricing is typically handled through a sales/demo process rather than public pricing tiers. 
Button
+1

For creators and publishers, Button provides tools to monetize commerce traffic, but access is generally through Button’s partner programs rather than a free account you can simply sign up for and use indefinitely. 
Button

For brands, costs are likely based on a custom enterprise agreement depending on factors such as traffic volume, integrations, and services needed. 
Button

Sources used:
https://www.usebutton.com/

https://www.usebutton.com/for-creators

https://www.trustradius.com/products/button/pricing"
Does Button charge a commission or subscription fee?,"Button does not publicly list fixed pricing plans or a standard subscription price. Its pricing appears to be enterprise-oriented and custom, based on factors such as the company’s needs, traffic volume, integrations, and use case. 
Button
+1

For affiliate and creator use cases, Button’s model is tied to commerce attribution and performance outcomes rather than a publicly advertised flat commission schedule. Creators and publishers use Button to improve tracking and capture more affiliate revenue, while brands use it as a mobile commerce and marketing technology platform. 
Button
+1

In practice, expect:

Brands/retailers: likely a negotiated enterprise contract (custom pricing). 
Button

Publishers/creators: Button helps optimize affiliate links and attribution; commissions are generally earned through the underlying affiliate programs rather than a published “Button commission rate.” 
Button

No public self-serve subscription tiers are advertised. 
Button

Sources:
https://www.usebutton.com/

https://www.trustradius.com/products/button/pricing

https://www.usebutton.com/for-creators

https://www.accelerationpartners.com/resources/partner-qa-button/"
Is Button worth it for ecommerce businesses?,"Button can be worth it for ecommerce businesses, but mainly for brands that already have meaningful mobile, affiliate, creator, or partner-driven traffic. It is less likely to be valuable for a small store that mainly relies on direct search, email, or organic traffic. 
Norwest
+1

When Button is likely worth it

1. You have affiliate or creator traffic

Button is designed to improve the path from affiliate links, influencer posts, and publisher content to checkout.

It can route shoppers to better destinations (such as a specific product page or app experience) instead of sending them through generic mobile web flows. 
BriefGlance

2. You have a strong mobile app

Brands with apps can benefit because Button focuses heavily on mobile deep linking and improving app-based conversion journeys. 
Button

If many customers browse on phones but fail to convert, reducing friction can create measurable gains.

3. You spend heavily on customer acquisition

If you are paying commissions to affiliates, creators, or partners, improving conversion rates can increase revenue without necessarily increasing traffic spend.

Button has reported customer results including higher mobile affiliate revenue and conversion improvements, though these are vendor-reported outcomes and may vary by company. 
Button

When Button may not be worth it

Small ecommerce businesses

If you have limited traffic volume, the incremental revenue may not justify an enterprise-oriented platform.

A simpler affiliate tool, better landing pages, or improved checkout experience may provide a better return.

Businesses without partner-driven traffic

If most sales come from paid search, marketplaces, or repeat customers, Button’s strengths may not address your biggest bottleneck.

Companies without mobile conversion problems

If your mobile conversion rate is already strong and customers rarely use affiliate/creator links, the upside may be limited.

A practical ROI test

Button is worth considering if you can answer “yes” to several of these:

Question	Strong fit?
Do affiliates, influencers, or publishers drive a meaningful share of sales?	✅
Do you have a mobile app?	✅
Is mobile traffic a large part of revenue?	✅
Do you have enough monthly order volume to measure conversion lift?	✅
Are you losing shoppers between click and checkout?	✅

For a large ecommerce brand with creator/affiliate growth goals, Button can be a high-leverage optimization layer. For a smaller merchant, investing first in conversion rate optimization, analytics, and acquisition channels may deliver better returns.

Sources used:
https://www.martechcube.com/study-finds-432-roi-from-buttons-ai-mobile-routing-tech/

https://www.norwest.com/?case_studies=button-win-win-win-mobile-commerce-solution

https://www.usebutton.com/post/button-surpasses-25-billion-in-all-time-commerce-on-the-platform-with-2025-proving-to-be-a-breakout-year-powered-by-the-creator-economy-and-continued-growth-of-commerce-media-and-affiliate-marketing

https://www.usebutton.com/post/large-retailer-wins-and-growth-in-the-creator-economy-drive-button-to-surpass-10-billion-in-mobile-commerce-driven-in-2023"
Is Button worth using for affiliate marketing?,"Yes, Button can be worth using for affiliate marketing, but it depends on your role and scale. Button is less of a traditional affiliate network (like CJ, Impact, or ShareASale) and more of a commerce optimization and affiliate infrastructure platform focused on improving how affiliate traffic converts, especially on mobile. 
Button
+1

When Button is worth it

Good fit if you are:

A publisher, creator network, or content platform sending significant shopping traffic and looking to increase conversion rates. Button focuses on improving affiliate link journeys, mobile deep linking, and attribution. 
Button

A retailer/brand with an existing affiliate program that wants better mobile conversion performance rather than just more affiliates. 
Button

A company with high mobile traffic, where losing users between content, apps, and checkout hurts revenue. 
PR Newswire

Potential benefits

Better mobile affiliate experiences through deep links and optimized user journeys. 
Button

Ability to work alongside existing affiliate relationships and networks rather than replacing them. 
PR Newswire

Potential revenue lift if you already have meaningful traffic volume and conversion problems to solve. 
PR Newswire

When it may not be worth it

Small affiliates or individual creators with limited traffic may not see enough incremental revenue to justify enterprise tooling.

If you mainly need affiliate program discovery, partner recruitment, and commission management, a traditional affiliate platform may be a better fit. Platforms like Impact focus more broadly on partnership management, recruiting, payouts, and reporting. 
impact.com

If your current affiliate funnel already converts well, Button’s optimization layer may provide limited upside.

Bottom line

Enterprise brand or large publisher: likely worth evaluating.

Growing creator or small affiliate site: probably unnecessary unless you have significant mobile commerce volume.

Best use case: you already have affiliate traffic and want to squeeze more conversions and revenue out of it. 
Button
+1

Sources:
https://www.usebutton.com/full-service-network

https://www.usebutton.com/post/buttons-creator-network-and-publisher-solutions-are-the-easiest-way-to-maximize-revenue-from-your-commerce-strategies

https://www.prnewswire.com/news-releases/buttons-commerce-optimization-platform-launches-button-for-publishers-302119089.html

https://impact.com/affiliate-marketing/"
Is Button legitimate?,"Yes. Button (usebutton.com) appears to be a legitimate company, not a scam. It is a New York–based mobile commerce technology company founded in 2014 that provides tools for brands, publishers, creators, and affiliates to improve mobile shopping journeys and track commerce conversions. 
CB Insights
+1

Signs that support its legitimacy:

Established company history: Button was founded in 2014 and has operated in the mobile commerce/affiliate technology space for years. 
CB Insights

Recognized business customers: Button has publicly referenced partnerships with major brands and platforms, including companies such as Uber, eBay, Groupon, Hotels.com, and others. 
G2
+1

Industry presence: It is listed on business databases and software review platforms, including G2, where it has customer reviews (though the review volume is small). 
G2
+1

Real business model: Button operates as B2B software for mobile commerce attribution, deep linking, and affiliate/partnership optimization—not as a consumer money-making scheme. 
CB Insights

That said, whether it is worth using depends on your situation:

For a large ecommerce brand, app-based retailer, affiliate program, or publisher, Button can be a legitimate tool to evaluate.

For a small creator or small business looking for simple affiliate links, it may be more infrastructure than you need. 
G2

If you are considering signing up, the main things to verify are:

You are working through the official domain (usebutton.com).

Pricing and contract terms match your business needs.

Attribution, commissions, and reporting terms are clear before integrating.

Sources used:
https://www.g2.com/products/button/reviews

https://www.cbinsights.com/company/button

https://www.linkedin.com/company/usebutton

https://www.usebutton.com/"
Is Button a trustworthy company?,"Yes — Button appears to be a legitimate and generally trustworthy company, especially in the context of mobile commerce and affiliate marketing. It is a real B2B technology company rather than a consumer scam or questionable affiliate scheme. 
tracxn.com
+1

Reasons it appears credible:

Established company history: Button was founded in 2014 and operates as a mobile commerce optimization platform used by retailers, publishers, and creators. 
tracxn.com

Venture-backed: The company has raised significant institutional funding (reported at more than $65M–$67M), with investors including firms such as Redpoint Ventures, Norwest, and others. 
tracxn.com
+1

Real enterprise usage: Button reports powering commerce for major brands and publishers, and industry sources describe it as a platform for improving mobile conversion, attribution, and affiliate revenue. 
Norwest
+1

Long operating track record: It has processed billions of dollars in commerce activity through its platform, according to company announcements. 
Button

Things to evaluate before using it:

It is primarily an enterprise tool. Button is designed for brands, publishers, apps, and affiliate partners—not usually individual consumers. 
Norwest

Do your own contract review. As with any marketing technology vendor, check pricing, attribution rules, data handling, reporting capabilities, and termination terms before committing.

Verify you are dealing with the real company. Be cautious of emails or websites impersonating Button; use the official domain and confirm contacts.

Overall: Button looks like a legitimate SaaS/marketing technology provider with credible funding, customers, and industry presence. It is not widely associated with scam activity based on available information. 
tracxn.com
+1

Sources used:
https://tracxn.com/d/companies/button/__XVH3wS1CMICt-WSn5jt7vPEdQu9HCfVjIP_wzMJp9vA

https://www.usebutton.com/post/button-raises-30-million-in-series-c-funding-to-build-the-future-of-mobile-commerce

https://pitchbook.com/profiles/company/63693-37

https://www.norwest.com/?case_studies=button-win-win-win-mobile-commerce-solution

https://yourstory.com/companies/button"
How long has Button been around?,"Button (the mobile commerce and affiliate/commerce technology company at usebutton.com) was founded in 2014 in New York City. 
Norwest
+1

As of 2026, Button has been operating for about 12 years. The company was founded by Michael Jaconi and other co-founders, initially focusing on mobile deep linking and commerce experiences that help brands, publishers, and apps drive transactions. 
Tracxn
+1

Over its history, Button has expanded from a mobile deep-linking platform into a broader commerce optimization platform used for affiliate, creator, and mobile marketing workflows. 
Button
+1

Sources used:
https://www.norwest.com/?case_studies=button-win-win-win-mobile-commerce-solution

https://tracxn.com/d/companies/button/__XVH3wS1CMICt-WSn5jt7vPEdQu9HCfVjIP_wzMJp9vA

https://www.cbinsights.com/company/button

https://www.usebutton.com/

https://theorg.com/iterate/michael-jaconi-is-making-mobile-commerce-as-easy-as-a-click-of-a-button"
Who founded Button?,"Button (the mobile commerce and affiliate marketing technology company, usebutton.com) was founded in 2014 by: 
Tracxn

Michael Jaconi — Co-founder and CEO 
THE ORG

Mike Dudas 
Tracxn

Chris Maddern 
Tracxn

Siddhartha Dabral 
Tracxn

Stephen Milbank 
Tracxn

The company was started in New York with the goal of improving mobile commerce by helping retailers, publishers, and creators drive and monetize shopping activity through better mobile links, attribution, and conversion technology. 
Tracxn
+1

Sources:
https://tracxn.com/d/companies/button/__XVH3wS1CMICt-WSn5jt7vPEdQu9HCfVjIP_wzMJp9vA

https://theorg.com/iterate/michael-jaconi-is-making-mobile-commerce-as-easy-as-the-click-of-a-button

https://www.usebutton.com/post/button-raises-30-million-in-series-c-funding-to-build-the-future-of-mobile-commerce"

Total run time,14m 1s
