Query,Response
How much does Button cost to use?,"Button does not publish standard pricing on its website. Its product pages direct prospective retailers, publishers, and creator networks to request a demo or schedule a sales call, so pricing appears to be customized. 
Button
+2
Button
+2

The cost will likely depend on factors such as:

The Button product used, such as Dynamic Decisioning, link optimization, retail media, or its full-service affiliate network

Monthly clicks, transactions, or commerce volume

Number of brands, publishers, or creators supported

Integration and managed-service requirements

Whether compensation is structured as a platform fee, performance-based fee, revenue share, or a combination

Therefore, there is no reliable public figure such as “$99 per month.” A company would need to contact Button for a tailored proposal. A third-party software directory also reports that Button’s pricing is not publicly listed and requires contacting sales. 
ColdIQ

https://www.usebutton.com/full-service-network

https://www.usebutton.com/for-creators

https://www.usebutton.com/dynamic-decisioning

https://coldiq.com/tools/button"
Does Button have pricing plans or enterprise pricing?,"Button appears to use custom, enterprise-style pricing rather than publishing fixed monthly plans.

Its product pages direct retailers, publishers, and creator platforms to request a demo, schedule a call, or contact the sales team. No public pricing tiers or standard subscription rates are listed, suggesting quotes are tailored to factors such as the solution selected, traffic or transaction scale, integration requirements, and support needs. 
Button
+2
Button
+2

Button does mention that publishers can test its deep-linking solution free of charge, but this appears to be an evaluation offer rather than a permanent free pricing plan. 
Button

Bottom line: expect a sales consultation and custom quote, particularly for retailer, affiliate-network, creator-platform, or enterprise deployments.

https://www.usebutton.com/contact-us

https://www.usebutton.com/full-service-network

https://www.usebutton.com/dynamic-decisioning

https://www.usebutton.com/tap"
Is Button free to use?,"Button is not generally a free platform. Its primary retailer, publisher, and affiliate solutions appear to use custom pricing: Button directs prospective customers to request a demo or contact its sales team rather than publishing a free plan or standard price list. 
Button
+2
Button
+2

There are limited free options:

Publishers can test Button’s Tap deep-linking solution free of charge. 
Button

Applying to join the Button Marketplace does not show an upfront fee, but partners must be approved, and commercial terms may depend on the partnership. 
Button

For ongoing business use, expect to contact Button for a custom quote.

https://www.usebutton.com/tap

https://www.usebutton.com/for-creators

https://www.usebutton.com/product-listing-ads

https://www.usebutton.com/full-service-network

https://app.usebutton.com/signup/"
Does Button charge a commission or subscription fee?,"Button does not publish a standard commission rate or subscription fee.

For retailers, publishers, and creator networks, pricing appears to be custom and contract-based: Button directs prospective customers to request a demo or schedule a sales call rather than showing fixed plans. Its platform may incorporate performance or e-commerce fees depending on the partnership, but no universal percentage is disclosed. 
Button
+2
Button
+2

For publishers, Button says its deep-linking solution can be tested free of charge. Its Creator App terms also state that Button may offer the app free or introduce fees later. 
Button
+1

Bottom line: expect negotiated enterprise pricing rather than a publicly listed subscription or commission.

https://www.usebutton.com/full-service-network

https://www.usebutton.com/support/privacy-policy

https://www.usebutton.com/contact-us

https://www.usebutton.com/tap

https://www.usebutton.com/support/terms-of-service"
Is Button worth it for ecommerce businesses?,"Verdict

Button can be worth it for established ecommerce businesses with significant mobile, affiliate, creator, or social-commerce traffic. It is less compelling for small, web-only stores with limited affiliate volume.

Button is not a storefront platform like Shopify. It optimizes what happens after customers click affiliate or creator links—routing them to the most suitable app or web destination while improving deep linking, attribution, app installs, and conversion tracking. 
Button
+1

Most likely worth it when you have

A well-developed iOS or Android shopping app

Meaningful revenue from affiliates, creators, influencers, or social links

Customers frequently landing on mobile web instead of the correct in-app product page

Attribution gaps between clicks, installs, and purchases

Enough transaction volume for a small conversion improvement to generate substantial incremental profit

Button reports strong results in these situations. For example, its Sam’s Club case study cites a 165% increase in mobile affiliate revenue and an 81% conversion-rate increase. A Button-commissioned Forrester study modeled a 432% three-year ROI, a 65% conversion lift, and payback within six months for a composite $1 billion retailer. 
Button
+1

Probably not worth it when you have

A small or early-stage ecommerce store

No dedicated mobile app

Little affiliate or creator traffic

Low mobile sales volume

A need for transparent, self-service pricing

Limited engineering capacity

Implementation is not entirely plug-and-play: Button’s retailer documentation includes app and site setup, token-based attribution, order reporting, and integration testing. Its public retailer pages use a demo-led sales process rather than displaying standardized pricing. 
Button Developers
+1

Recommended decision rule

Run a controlled pilot and approve Button only when:

Incremental contribution profit from Button-attributed sales − Button fees − integration and operating costs > your required return

Require Button to provide:

Pricing and minimum commitments

A baseline audit of your broken or misrouted mobile journeys

A holdout or A/B testing methodology

Incremental conversion and revenue—not merely total attributed revenue

Results segmented by app, mobile web, affiliate network, and partner

The published results are encouraging, but most available performance evidence comes from Button’s own case studies or a study commissioned by Button. Treat those figures as evidence of potential rather than a guaranteed forecast for your business. 
Button
+1

Bottom line: Button is potentially high-value mobile conversion infrastructure for larger, app-centric ecommerce companies. For smaller or primarily web-based businesses, improving checkout, site speed, affiliate recruitment, and standard analytics will usually be a better first investment.

Sources:

https://www.usebutton.com/dynamic-decisioning

https://developer.usebutton.com/docs/brands-getting-started

https://www.usebutton.com/post/sams-club-experienced-a-165-increase-in-total-mobile-affiliate-revenue-with-buttons-reach

https://www.usebutton.com/post/total-economic-impact-tm-study-finds-432-roi-for-button-partners"
Is Button worth using for affiliate marketing?,"Verdict

Button can be worth using for affiliate marketing—especially when a large share of your traffic is mobile, social, or app-based. Its main advantage is not simply providing affiliate offers; it optimizes the post-click journey through deep linking, app detection, routing, and attribution. 
Button
+2
Button
+2

Button is a strong fit when you:

Generate meaningful mobile traffic from social media, creators, apps, or content sites.

Lose commissions when shoppers move between browsers, retailer apps, and checkout.

Already operate an affiliate program and want to improve conversion rate and earnings per click.

Need managed support rather than a basic self-service affiliate dashboard.

Button says publishers can use its technology alongside existing retailer and affiliate-network relationships, without migrating those relationships. It reports lifts such as 20%+ mobile EPC improvement, although these figures are vendor-reported and results will vary. 
Button
+1

It may not be worth it when you:

Are a new or low-traffic individual affiliate seeking quick, self-service access to thousands of programs.

Drive mostly desktop traffic.

Primarily need partner recruitment, contract management, and automated payouts.

Need publicly posted, predictable pricing.

Button’s public pages emphasize applications, scheduled calls, and demo requests rather than displaying standard pricing, suggesting a more customized and potentially enterprise-oriented sales process. 
Button
+2
Button
+2

Recommendation

For an established publisher, creator platform, retailer, or affiliate network with substantial mobile volume, Button is worth testing. Run a controlled trial and compare:

Earnings per click

Mobile conversion rate

Attributed app purchases

Net affiliate revenue after Button’s fees

Incremental revenue—not merely sales Button would have captured anyway

Button cites a commissioned Forrester study showing a modeled 65% conversion-rate lift and 432% ROI for a composite large retailer. Treat those results as evidence of potential rather than a forecast for your business. 
Button

For a small blogger or beginning affiliate, a conventional network such as Awin, CJ, Impact, or Amazon Associates will usually be the simpler starting point; Button becomes more compelling once mobile routing and attribution are material revenue problems.

https://www.usebutton.com/full-service-network

https://www.usebutton.com/for-creators

https://www.usebutton.com/dynamic-decisioning

https://www.usebutton.com/post/buttons-commerce-optimization-platform-launches-button-for-publishers

https://app.usebutton.com/apply

https://www.usebutton.com/post/total-economic-impact-tm-study-finds-432-roi-for-button-partners"
Is Button legitimate?,"Yes—Button appears to be legitimate

Button, the mobile-commerce and affiliate technology company operating at usebutton.com, shows several strong legitimacy signals:

Its terms identify the business as Button, Inc., a Delaware corporation, with published legal, privacy, and contact information. 
Button
+1

TechCrunch independently covered Button’s venture-funding rounds, including a $12 million Series A and $20 million Series B. 
TechCrunch
+1

Growth-equity firm PSG announced an investment in Button in June 2025 and currently lists Button in its portfolio. 
PSG Equity
+1

Button has an active platform, developer documentation, affiliate-network products, and an established presence on software-review site G2. 
Button Developers
+2
Button
+2

The caveat: legitimate does not necessarily mean it will be profitable or appropriate for every creator, publisher, or retailer. Independent customer-review volume is relatively limited—G2 displayed only four reviews—so carefully review Button’s commission structure, attribution rules, payment schedule, data practices, minimum commitments, and cancellation provisions before signing. 
G2

Overall, Button does not appear to be a scam; it is an established B2B commerce-technology company.

Sources:

https://www.usebutton.com/support/terms-of-service

https://www.usebutton.com/support/privacy-policy

https://techcrunch.com/2015/01/22/button-12m-redpoint/

https://techcrunch.com/2017/01/25/button-the-marketplace-for-app-integrations-lands-20-million-in-series-b-funding/

https://psgequity.com/news/button-secures-strategic-growth-investment-from-psg

https://psgequity.com/portfolio/button

https://developer.usebutton.com/reference/brands-api-introduction

https://www.usebutton.com/full-service-network

https://www.g2.com/products/button/reviews"
Is Button a trustworthy company?,"Verdict

Yes—Button appears to be a legitimate and generally trustworthy B2B technology company, not a scam.

Key trust signals:

Button has operated since 2014 and maintains an active platform, developer portal, SDK documentation, privacy policy, GDPR notice, and contractual terms. 
Button Developers
+3
Button
+3
Button
+3

Growth-equity firm PSG made a strategic investment in Button in June 2025, indicating that the company underwent meaningful institutional due diligence. 
PSG Equity

Button publishes customer case studies involving recognizable companies such as Sam’s Club, Uber, Hotels.com, Rawlings, Groupon, and BuzzFeed. These are company-published claims rather than independent audits, but they demonstrate an established commercial footprint. 
Button
+2
Button
+2

Its limited G2 review profile currently shows a strong rating, although the sample—four reviews—is too small to treat as decisive evidence. 
G2

The principal caution is data handling, not legitimacy. Button’s technology uses links, SDKs, device and transaction-related signals to measure and optimize commerce activity. A business considering it should review the privacy policy, data-processing agreement, attribution rules, payment terms, cancellation provisions, and data-retention practices before integrating. 
Button
+2
Button
+2

Bottom line: Button looks credible enough to evaluate as a vendor. For a material contract, request current customer references, security documentation such as a SOC 2 report, implementation costs, commission terms, and independently verifiable performance data.

Sources:

https://www.usebutton.com/support/privacy-policy

https://www.usebutton.com/support/gdpr-notice

https://www.usebutton.com/support/terms-of-service

https://s.mobileapi.usebutton.com/

https://psgequity.com/news/button-secures-strategic-growth-investment-from-psg

https://www.usebutton.com/category/case-studies

https://www.usebutton.com/post/hotels-com-supercharged-their-marketing-program-with-button-posttap

https://www.usebutton.com/post/uber-eats-case-study-actionable-intelligence-of-button-evolution-product-suite

https://www.g2.com/products/button/reviews"
How long has Button been around?,"Button was founded in 2014, so it has been operating for about 12 years as of July 2026. 
Button
+1

https://www.usebutton.com/post/button-raises-30-million-in-series-c-funding-to-build-the-future-of-mobile-commerce

https://www.usebutton.com/post/button-the-worlds-leading-mobile-experience-platform-surpasses-8b-in-commerce-driven"
Who founded Button?,"Button was co-founded in 2014 by six people:

Michael “Mike” Jaconi

Chris Maddern

Mike Dudas

Tanner Hackett

Siddhartha Dabral

Stephen Milbank

Jaconi became Button’s CEO and is often the founder most closely associated with the company publicly. 
Forbes
+1

Sources:

https://www.builtinnyc.com/articles/mobile-deep-linking-startup-button-raises-series

https://www.forbes.com/profile/chris-maddern/"
